similarity,post,app,clone_range
94,14004933,opentraining/v0.5.1/opentraining-0.5.1/app/src/de/skubware/opentraining/db/parser/AbstractJSONParser.java,47-65
94,8327136,reader/1.1.1/reader-1.1.1/reader-android/src/com/viewpagerindicator/TabPageIndicator.java,239-255
95,11242421,reader/1.1.1/reader-1.1.1/reader-android/src/com/viewpagerindicator/TabPageIndicator.java,95-119
100,8327136,reader/1.1.1/reader-1.1.1/reader-android/src/com/viewpagerindicator/TabPageIndicator.java,121-134
95,14433281,reader/1.1/reader-1.1/reader-android/src/com/viewpagerindicator/UnderlinePageIndicator.java,185-266
100,10163130,screen-notifications/0.90/screen-notifications-0.90/ScreenNotifications/src/main/java/com/lukekorth/screennotifications/TimePreference.java,125-151
100,10163130,screen-notifications/0.90/screen-notifications-0.90/ScreenNotifications/src/main/java/com/lukekorth/screennotifications/TimePreference.java,87-99
96,10457489,sophia/oss/master/sophia/oss-master/support-v4/src/android/support/v4/app/ListFragment.java,89-137
100,7112706,tasks/4.3.0/tasks-4.3.0/actionbarsherlock/samples/demos/src/com/actionbarsherlock/sample/demos/app/FragmentTabs.java,124-142
100,7112706,tasks/4.3.0/tasks-4.3.0/actionbarsherlock/samples/demos/src/com/actionbarsherlock/sample/demos/app/FragmentTabs.java,145-168
100,1043276,tasks/4.3.0/tasks-4.3.0/astrid/rmilk-src/org/weloveastrid/rmilk/api/Invoker.java,284-298
100,1043276,tasks/4.3.1/tasks-4.3.1/astrid/rmilk-src/org/weloveastrid/rmilk/api/Invoker.java,284-298
100,7112706,tasks/4.4.4.1/tasks-4.4.4.1/actionbarsherlock/samples/demos/src/com/actionbarsherlock/sample/demos/app/FragmentTabs.java,124-142
100,7112706,tasks/4.4.4.1/tasks-4.4.4.1/actionbarsherlock/samples/demos/src/com/actionbarsherlock/sample/demos/app/FragmentTabs.java,145-168
100,13716593,tasks/4.6.0/tasks-4.6.0/actionbarsherlock/library/src/com/actionbarsherlock/internal/app/ActionBarImpl.java,314-326
93,9178021,tasks/4.6.5/tasks-4.6.5/actionbarsherlock/samples/fragments/src/com/actionbarsherlock/sample/fragments/FragmentTabsPager.java,42-66
95,8327136,tasks/4.6.7/tasks-4.6.7/viewPagerIndicator/library/src/com/viewpagerindicator/TabPageIndicator.java,69-93
100,8327136,tasks/4.6.7/tasks-4.6.7/viewPagerIndicator/library/src/com/viewpagerindicator/TabPageIndicator.java,159-170
100,8327136,tasks/4.6.7/tasks-4.6.7/viewPagerIndicator/library/src/com/viewpagerindicator/TabPageIndicator.java,193-207
100,8327136,tasks/4.6.7/tasks-4.6.7/viewPagerIndicator/library/src/com/viewpagerindicator/TabPageIndicator.java,95-108
100,8327136,tasks/4.6.7/tasks-4.6.7/viewPagerIndicator/library/src/com/viewpagerindicator/TabPageIndicator.java,172-184
